Authors,Title,Source,Year,RI,New sp.,Social,Plants,Fish,Amphibians,Reptiles,Birds,Mammals,Other,DOI
"Taylor, CM",Rubiacearum Americanarum Magna Hama Pars XX. New species of Faramea (Coussareae) from Central and South America,Novon,2008,11,1,0,1,0,0,0,0,0,0,
"von May, R., A. Catenazzi et al.",Current state of conservation knowledge on threatened amphibian species in Peru,Tropical Conservation Science,2008,,0,0,0,0,1,0,0,0,0,
,Ann. Missouri Bot. Gard. 95(4): 645 (fig. 11). 2008 [30 Dec 2008],,2008,3,1,0,1,0,0,0,0,0,0,
"Bertaco VA, LR Malabarba, M Hidalgo, H Ortega","A new species of Hemibrycon (Teleostei: Characiformes: Characidae) from the río Ucayali drainage, Sierra del Divisor, Peru",Neotropical Ichthyology,2007,,1,0,0,1,0,0,0,0,0,
"Croat, TB, J Whitehill, and ED Yates",A New Subsection of Anthurium Section Calomystrium (Araceae) and Five New Species from Colombia and Ecuador,Aroideana,2007,3,1,0,1,0,0,0,0,0,0,
"Hayden, T",Ground Force,Nature,2007,,0,0,0,0,0,0,0,0,1,
"Parmentier, I., Y. Malhi, B. Senterre, R.J. Whittaker, A.T.D.N., A. Alonso, M.P.B. Balinga, A. Bakayoko, F. Bongers, C. Chatelain, J.A. Comiskey, R. Cortay, M.-N. Djuikouo Kamdem, J.-L. Doucet, L. Gautier, W.D. Hawthorne, Y.A. Issembre, F.N. Kouamé, L.A. Kouka, M.E. Leal, J. Lejoly, S.L. Lewis, L. Nusbaumer, M.P.E. Parren, K.S.-H. Peh, O.L. Phillips, D. Sheil, B. Sonké, M.S.M. Sosef, T.C.H. Sunderland, J. Stropp, H. ter Steege, M.D. Swaine, M.G.P. Tchouto, B.S. van Gemerden, J.L.C.H. van Valkenburg & H. Wöll",The odd man out? Might climate explain the lower tree alpha-diversity of African rain forests relative to Amazonian rain forests?,Journal of Ecology,2007,,0,0,1,0,0,0,0,0,0,
"Tobias, JA, and DJ Brightsmith","Distribution, ecology and conservation status of the Blue-headed Macaw Primolius couloni",Biological Conservation,2007,,0,0,0,0,0,0,1,0,0,
"Wright, I.J., D.D. Ackerly, F. Bongers, K.E. Harms, G. Ibarra-Manriquez, M. Martínez-Ramos, S.J. Mazer, H.C. Muller-Landau, H. Paz, N.C.A. Pitman, L. Poorter, M.R. Silman, C.F. Vriesendorp, C.O. Webb, M. Westoby & S.J. Wright",Relationships among key dimensions of plant trait variation in seven Neotropical forests,Annals of Botany,2007,,0,0,1,0,0,0,0,0,0,
"Chávez de los Ríos, E, R Calderon, R Peralta, S Suarez, et al.",Mancomunidad Amazónica Unión Amazónica Filadelfia-Bolpebra: Plan Municipal de Ordenamiento Territorial Mancomunidad Filadelfia,Mancomunidad Unión Amazónica Filadelfi,2006,NA,0,0,0,0,0,0,0,0,1,
"Malhi, Y., D. Wood, T.R. Baker, J. Wright, O.L. Phillips, T. Cochrane, P. Meir, J. Chave, S. Almeida, L. Arroyo, N. Higuchi, T.J. Killeen, S.G. Laurance, W.F. Laurance, S.L. Lewis, A. Monteagudo, D.A. Neill, P. Núñez Vargas, N.C.A. Pitman, C.A. Quesada, R. Salomão, J.N.M. Silva, A. Torres Lezama, J. Terborgh, R. Vásquez Martínez & B. Vinceti",The regional variation of aboveground live biomass in old-growth Amazonian forests,Global Change Biology,2006,,0,0,1,0,0,0,0,0,0,
"Micheangeli, FA",Two new species of myrmecophytic Tococa (Melastomataceae) with unusually large floral bracts,Brittonia,2006,17,1,0,1,0,0,0,0,0,0,
